Tipe Silang,Tgl Beli,No LPB,Sales Beli,Supplier,Nama Barang,Qty Silang,HPP Beli,Tgl Jual,No SJ,Sales Jual,Customer
BC dipakai PF,2026-05-04,KB-LPB-04052026-002,BC,"HYPERMART PURI INDAH ","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",1,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
PF dipakai BC,2026-02-03,KB-LPBD-03022026-003,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Soft 48X150Gr",25,585405.405,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-27,KB-LPBD-27022026-002,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Soft 48X150Gr",10,588828.8,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-01-06,KB-LPBD-20260108-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Styling Pomade 75G (Perfect Rise) 4 X 12 X 75G",2,1022702.7,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-01-06,KB-LPBD-20260108-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Roll On Deodorant Fresh Marine 72X50Ml",1,883243.24,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-01-06,KB-LPBD-20260108-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Spray Pomade Quick & Volume 150Mlx48",10,1007207.21,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-01-06,KB-LPBD-20260108-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Styling Pomade Supreme Hold (48X75Gr)",5,1022702.7,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-03,KB-LPBD-03022026-003,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 150Grx48",30,585405.405,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-12,KB-LPBD-12022026-005,PF,"CV SAMUDRA JAYA ABADI","Gatsby T-Hair Cream Normal 36X245Gr",20,488108.1,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-27,KB-LPBD-27022026-002,PF,"CV SAMUDRA JAYA ABADI","Gatsby T-Hair Cream Normal 36X245Gr",10,488108.1,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-03,KB-LPBD-03022026-003,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hard 48X150Gr",20,585405.405,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
PF dipakai BC,2026-02-03,KB-LPBD-03022026-003,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 48X150Gr",20,585405.405,2026-04-01,SJ-158-10012026-002,BC,"PT. RAJA IMPEX"
BC dipakai PF,2026-02-25,KB-LPBD-25022026-002,BC,"Jenindo Prakarsa Jati Asih , Bekasi","Blue Band Serbaguna 200G",1,414175.81,2026-04-01,SJ-218-07032026-001,PF,"PT. BHAKTI KARYA DISTRIBUSI INDONESIA"
