No.,ID Pelanggan,Nama,Alamat,Kota,Provinsi,Negara,Kode Pos,NPWP,Nama Wajib Pajak,Hutang,Nomor Faktur
13,C.00013,MITRA PRATAMA SUBUR JAYA,"JL MA. SALMUN NO.40C-D, RT 001, RW 003,
JAWA BARAT, KOTA BOGOR, BOGOR TENGAH
CIWARINGIN, 16124",BOGOR,JAWA BARAT,Indonesia,16124,0802083881404000,MITRA PRATAMA SUBUR JAYA,,
14,C.00014,PERSEROAN TERBATAS - BADAN SHIPPINDO LOGISTIK BERJAYA,"CITYWALK SUDIRMAN LT 3, JL KH MAS MANSYUR, 10, KARET TENGSIN, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA, 10220",JAKARTA PUSAT,DKI JAKARTA,Indonesia,,0420928426063000,SHIPPINDO LOGISTIK BERJAYA,,
15,C.00015,PT MEGA PROSINDO,"RUKO CITY PARK, L/10, CENGKARENG TIMUR,
CENGKARENG, KOTA ADM. JAKARTA BARAT,
DKI JAKARTA, 11730",JAKARTA BARAT,DKI JAKARTA,Indonesia,11730,0020664173034000,MEGA PROSINDO,,
16,C.00016,PT RATU SETIA ABADI,"MENARA 165 LT.14 UNIT E JL. TB SIMATUPANG NO.K
CILANDAK TIMUR, PASAR MINGGU,
KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",,,,,0037483336017000,RATU SETIA ABADI,,
17,C.00017,PT. BERKAH SIDOFAST SUKSES,"RUKO DAAN MOGOT BARU
JL. BEDUGUL 5B NO.10 RT.008 RW.012",JAKARTA BARAT,JAKARTA,INDONESIA,,0424142792085000,BERKAH SIDOFAST SUKSES,,
18,C.00018,PT. BHAKTI KARYA DISTRIBUSI INDONESIA,H. MAKSUM Blok - No.- RT:004 RW:002 Kel.SAWANGAN BARU Kec.SAWANGAN Kota/Kab.DEPOK JAWA BARAT 16511,KOTA DEPOK,JAWA  BARAT,Indonesia,,0752641233448000,BHAKTI KARYA DISTRIBUSI INDONESIA,,
19,C.00019,PT. DAMAI KARYA ABADI,"GEDUNG GRAHA KNS LANTAI 6-7, JALAN RAYA BOULEVARD BARAT, XC, 5-6 A, KELAPA GADING BARAT, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA, 14240",JAKARTA UTARA,DKI JAKARTA,Indonesia,,0860425578043000,DAMAI KARYA ABADI,,
20,C.00020,PT. DIZA AISHWARYA GLOBAL,"RUKAN AVENUE JGC, JL RAYA CAKUNG CILINCING KM 0.5 Blok 8 No.- RT:000 RW:000 Kel.CAKUNG TIMUR Kec.CAKUNG Kota/Kab.KOTA ADM JAKARTA TIMUR DKI JAKARTA 13910",JAKARTA TIMUR,DKI JAKARTA,Indonesia,,0532342383407000,DIZA AISHWARYA GLOBAL,,
21,C.00021,PT. DODO RINDO JAYA ABADI,JL. PELITA IV BLOK D NO.27 KIM STAR TANJUNG MORAWA B DELI SERDANG Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- - 00000,KOTA MEDAN,SUMATERA UTARA,Indonesia,,0018012690125000,DODO RINDO JAYA ABADI,,
22,C.00022,PT. FORTUNE REEF ZONA,"CITRA GRAND CIBUBUR CBD RUKO MARQUETTE
RUKO MARQUETTE BLOK AR1 NO.27 RT.002 RW.006
JATIRANGGA, JATISAMPURNA, KOTA BEKASI, JAWA BARAT",,,,,1000000002042210,FORTUNE REEF ZONA,,
23,C.00023,PT. GLOBAL NIAGA DIGITAL TBK.,JL. JEND A YANI NO.34 KAB KUDUS Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- - 00000,KAB. KUDUS,JAWA TENGAH,Indonesia,,0030006449506000,GLOBAL DIGITAL NIAGA TBK.,,
24,C.00024,PT. HARNAKA CRISTAL SEJAHTRA,JL KATALIA I Blok - No.1 RT:000 RW:000 Kel.UBUNG Kec.DENPASAR UTARA Kota/Kab.DENPASAR BALI 00000,KOTA DENPASAR,BALI,Indonesia,,0864732789901000,HARNAKA CRISTAL SEJAHTRA,,
25,C.00025,PT. INTRADITA PROSIMPEX,"JL. RAYA KAPUK KAMAL NO.6 RT.010 RW.011, CENGKARENG TIMUR, JAKARTA BARAT 11730",JAKARTA BARAT,DKI JAKARTA,Indonesia,,0019304260038000,INTRADITA PROSIMPEX,,
26,C.00026,PT. KARTINI SUKSES MAKMUR,JL. RAYA KEMANG Blok - No.557 RT:004 RW:006 Kel.KEMANG Kec.KEMANG Kota/Kab.BOGOR JAWA BARAT 00000,KAB. BOGOR,JAWA BARAT,Indonesia,,0805817970403000,KARTINI SUKSES MAKMUR,,
27,C.00027,PT. KARYA GEMILANG ABADIJAYA,RAYA PERANCIS PERGUDANGAN BANDARA BENDA Blok - No.- RT:000 RW:000 Kel.BENDA Kec.BENDA Kota/Kab.TANGERANG BANTEN 00000,KAB. TANGERANG,BANTEN,Indonesia,,0400326096402000,KARYA GEMILANG ABADIJAYA,,
28,C.00028,PT. LANCAR JAYA IMPEX,"PURI DELTAMAS BLOK C NO. 12A, JL. BANDENGAN SELATAN NO. 43 Blok 000 No.000 RT:000 RW:000 Kel.PEJAGALAN Kec.PENJARINGAN Kota/Kab.JAKARTA UTARA DKI JAKARTA 00000",JAKARTA UTARA,DKI JAKARTA,Indonesia,,0407733633041000,LANCAR JAYA IMPEX,,
29,C.00029,PT. MENTARI BERKAH MAKMUR,"GEDUNG WIRAUSAHA LANTAI 1 UNIT 104, JALAN HR RASUNA SAID KARET, SETIABUDI KOTA ADM, JAKARTA SELATAN DKI JAKARTA Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- - 00000",JAKARTA SELATAN,DKI JAKARTA,Indonesia,,0619174592011000,MENTARI BERKAH MAKMUR,,
30,C.00030,PT. MITRA ASIA SYNERGY,"GREEN SEDAYU BIZPARK JL. RAYA DAAN MOGOT KM.18 BLOK. DM 3 KALIDERES, KALIDERES KOTA ADM. JAKARTA BARAT DKI JAKARTA",JAKARTA BARAT,DKI JAKARTA,Indonesia,,0026707182085000,MITRA ASIA SYNERGY,,
31,C.00031,PT. MITRA TRIJAYA SENTOSA,"APARTEMEN SOHO BROOKLYN EAST/B, JL ALAM SUTERA BOULEVARD NO.66 TANGERANG SELATAN Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- - 00000",KOTA TANGERANG SELATAN,BANTEN,Indonesia,,0955582606411000,MITRA TRIJAYA SENTOSA,,
