No,Kategori Barang,Merek Barang,Kode Barang,Nama Barang,UPC/Barcode,Satuan,Stock,,,,,,,,,,,,,,,,,,,
326,Personal Care,Harmony,PERHARMONY-326,Harmony Soap Orange 70Gr,8993379200886,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
327,Personal Care,Harmony,PERHARMONY-327,Harmony Soap Strawberry 70Gr,8993379200855,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
328,Food,Head,FOOHEAD-328,Head & Shoulders Anti Apek (Hitam),4902430297219,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
329,Food,Head,FOOHEAD-329,Head & Shoulders Anti Bacterial (Biru),4902430566988,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
330,Food,Head,FOOHEAD-330,Head & Shoulders Anti Hairfall (Orange),4902430566858,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
331,Food,Head,FOOHEAD-331,Head & Shoulders Cool Mentol (Hijau),4902430566896,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
332,Food,Head,FOOHEAD-332,Head & Shoulders Itch-Care (Biru Tua),4987176081049,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
333,Food,Head,FOOHEAD-333,Head & Shoulders Lemon Fresh (Kuning),4902430566889,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
334,Food,Head,FOOHEAD-334,Head & Shoulders Smooth & Silky (Merah),4902430566834,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
335,Food,Hello,FOOHELLO-335,Hello Panda Caramel 42Gr,8994504240036,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
336,Food,Hello,FOOHELLO-336,Hello Panda Chocolate 42Gr,8994504302314,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
337,Food,Hello,FOOHELLO-337,Hello Panda Cookies & Cream 42Gr,8994504322336,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
338,Food,Hello,FOOHELLO-338,Hello Panda Double Choco 42Gr,8994504150021,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
339,Beverage,Hello,BEVHELLO-339,Hello Panda Milk Vanilla 42Gr,8994504102334,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
340,Food,Hello,FOOHELLO-340,Hello Panda Strawberry 42Gr,8994504102327,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
341,Food,Hit,FOOHIT-341,Hit Lily 600Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
342,Food,Hit,FOOHIT-342,Hit Orange 600Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
343,Food,Hs,FOOHS-343,Hs Smooth & Silky (Merah),,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
344,Food,Hydro,FOOHYDRO-344,Hydro Coco 250Ml,8992858527308,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
345,Food,Imboost,FOOIMBOOST-345,Imboost Syr 60Ml,68051721,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
346,Food,Indomie,FOOINDOMIE-346,Indomie Ayam Bawang 69Gr,89686010015,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
347,Food,Indomie,FOOINDOMIE-347,Indomie Coto Makasar 80Gr,89686043051,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
348,Food,Indomie,FOOINDOMIE-348,Indomie Empal Gentong 75Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
349,Food,Indomie,FOOINDOMIE-349,Indomie Goreng Ayam Panggang Jumbo 127Gr,89686041767,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
350,Food,Indomie,FOOINDOMIE-350,Indomie Goreng Cabe Ijo 90Gr,89686010718,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
351,Food,Indomie,FOOINDOMIE-351,Indomie Goreng Cakalang 75Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
352,Food,Indomie,FOOINDOMIE-352,Indomie Goreng Rendang 91Gr,89686910704,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
353,Food,Indomie,FOOINDOMIE-353,Indomie Goreng Rendang Jumbo 120Gr,89686043631,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
354,Food,Indomie,FOOINDOMIE-354,Indomie Goreng Special 85Gr,89686010947,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
355,Food,Indomie,FOOINDOMIE-355,Indomie Korean Ramyeon Fiery Chikin 94Gr,89686040197,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
356,Food,Indomie,FOOINDOMIE-356,Indomie Korean Ramyeon K-Rose 85Gr,89686040227,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
357,Food,Indomie,FOOINDOMIE-357,Indomie Korean Spicy Ramyeon 83Gr,89686040173,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
358,Food,Indomie,FOOINDOMIE-358,Indomie Kuah Cakalang 75Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
359,Food,Indomie,FOOINDOMIE-359,Indomie Mie Kocok Bandung 75Gr,89686011289,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
360,Food,Indomie,FOOINDOMIE-360,Indomie Nyemek Bangladesh 85Gr,89686043815,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
361,Food,Indomie,FOOINDOMIE-361,Indomie Soto Mie 70Gr,89686010343,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
362,Food,Jf,FOOJF-362,Jf Sulfur 90Gr,8992751000049,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
363,Food,Johnson,FOOJOHNSON-363,Johnson Baby Hair&Body Top To Toe Wash 100Ml,9556006012086,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
364,Food,Johnson,FOOJOHNSON-364,Johnson Baby Hair&Body Top To Toe Wash 200Ml,9556006012093,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
365,Food,Johnson,FOOJOHNSON-365,Johnson Baby Oil 125Ml,891111101323,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
366,Food,Johnson,FOOJOHNSON-366,Johnson Baby Oil Reguler 50Ml,8991111101316,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
367,Personal Care,Johnson,PERJOHNSON-367,Johnson Baby Shampoo Gold 200Ml,8991111101279,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
368,Food,Kapal,FOOKAPAL-368,Kapal Api Mix Sachet,18991002105543,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
369,Food,Kecap,FOOKECAP-369,Kecap Bango 1.525 Kg,14632344001,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
370,Food,Kecap,FOOKECAP-370,Kecap Bango 25Gr,8999999533496,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
371,Food,Kecap,FOOKECAP-371,Kecap Bango 77Gr,8999999514006,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
372,Food,Kecap,FOOKECAP-372,Kecap Bango Botol 189Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
373,Food,Kecap,FOOKECAP-373,Kecap Bango Botol 385Gr,8999999002503,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
374,Food,Kecap,FOOKECAP-374,Kecap Bango Botol 865Gr,8990121011028,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
375,Food,Kecap,FOOKECAP-375,Kecap Bango Refill 520Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
376,Food,Kecap,FOOKECAP-376,Kecap Bango Refill 700Ml,8999999100506,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
377,Food,Khong,FOOKHONG-377,Khong Guan Saltcheese 100Gr,8888166603417,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
378,Food,Khongguan,FOOKHONGGUAN-378,Khongguan Ass Biscuit Red Mini 650Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
379,Food,Khongguan,FOOKHONGGUAN-379,Khongguan Ass Biscuit Red Segi 1600Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
380,Food,Kispray,FOOKISPRAY-380,Kispray Gold Reff 280Ml,8992772198059,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
381,Food,Kispray,FOOKISPRAY-381,Kispray Kasturi Pouch 280Ml,8992772948012,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
382,Beverage,Kit,BEVKIT-382,Kit Kat Chocolate Drink 220Ml X 24,8992696527874,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
383,Food,Kit,FOOKIT-383,Kit Kat Rtd 24X220Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
384,Food,Kodomo,FOOKODOMO-384,Kodomo Pasta Gigi Melon 36X45Gr,8998866103084,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
385,Food,Kodomo,FOOKODOMO-385,Kodomo Pasta Gigi Strawbery 45Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
386,Food,Kodomo,FOOKODOMO-386,Kodomo Pasta Gigi Strawbery 45Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
387,Personal Care,Kodomo,PERKODOMO-387,Kodomo Tooth Paste Gel Mix Berries (Pink) 36X45Gr,8998866616232,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
388,Beverage,Kopi,BEVKOPI-388,Kopi Abc Susu Bag,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
389,Beverage,Kopi,BEVKOPI-389,Kopi Kapal Api Spesial 165Gr,8991002105423,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
390,Beverage,Kopi,BEVKOPI-390,Kopi Kapal Api Spesial Mix Bag 6X20X23Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
391,Beverage,Kopi,BEVKOPI-391,Kopi Neo Moccachino 20G Pack20,8998866201985,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
392,Beverage,Kopi,BEVKOPI-392,Kopi Neo Tiramisu 20G Pack20,18998866202029,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
393,Beverage,Kopi,BEVKOPI-393,Kopi Top Cappuccino Pack 20 X 6 X 25 Gr,8998866809696,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
394,Beverage,Kopi,BEVKOPI-394,Kopi Top Capucino 25Gr Bag 10,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
395,Beverage,Kopi,BEVKOPI-395,Kopi Top Gula Aren Pack 20 X 6 X 22 G,8998866202633,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
396,Beverage,Kopi,BEVKOPI-396,Kopi Top Mokachinno Pack 20 X 6 X 22 Gr,8998866204033,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
397,Beverage,Kopi,BEVKOPI-397,Kopi Top Susu Gula Aren (3In1) 20 X 6 X 27 G,8998866203852,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
398,Food,Kratingdaeng,FOOKRATINGDAENG-398,Kratingdaeng 250Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
399,Food,Larutan,FOOLARUTAN-399,Larutan Badak Jambu 320Ml,0,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
400,Food,Larutan,FOOLARUTAN-400,Larutan Badak Lychee 320Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
401,Food,Larutan,FOOLARUTAN-401,Larutan Cap Kaki 3 Anggur 320Ml,8995227500230,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
402,Food,Larutan,FOOLARUTAN-402,Larutan Cap Kaki 3 Jambu 320Ml,8995227500247,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
403,Food,Larutan,FOOLARUTAN-403,Larutan Cap Kaki 3 Jeruk 320Ml,8995227500308,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
404,Food,Larutan,FOOLARUTAN-404,Larutan Cap Kaki 3 Leci 320Ml,8995227500278,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
405,Food,Larutan,FOOLARUTAN-405,Larutan Cap Kaki 3 Melon 320Ml,8995227500292,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
406,Food,Larutan,FOOLARUTAN-406,Larutan Cap Kaki 3 Ori 500Ml,8995227500261,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
407,Food,Larutan,FOOLARUTAN-407,Larutan Cap Kaki 3 Strawberry 320Ml,8995227500254,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
408,Food,Larutan,FOOLARUTAN-408,Larutan Penyegar Cap Kaki 3 200Ml,8995227500124,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
409,Food,Laurier,FOOLAURIER-409,Laurier Active Day Wing 20S,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
410,Food,Laurier,FOOLAURIER-410,Laurier Relax Night 30S,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
411,Food,Lays,FOOLAYS-411,Lays Seawed 64Gr,8995674320140,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
413,Food,Lays,FOOLAYS-413,Lays Sweet Chili 64Gr,8996302147895,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
415,Food,Lays,FOOLAYS-415,Lays Wavy Fried Chicken 64Gr,8997655412032,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
416,Personal Care,Lifebouy,PERLIFEBOUY-416,Lifebouy Bar Soap Lemon Fresh (Yellow) 100Gr,8999999053291,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
417,Personal Care,Lifebouy,PERLIFEBOUY-417,Lifebouy Shampoo Anti Dandruff 680Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
418,Personal Care,Lifebouy,PERLIFEBOUY-418,Lifebouy Soap Mild Care (White) 100Gr,8999999045913,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
419,Personal Care,Lifebouy,PERLIFEBOUY-419,Lifebouy Soap Total 10 100Gr,8999999045920,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
420,Food,Listerine,FOOLISTERINE-420,Listerine Mw Cool Mint 250Ml,8992725910332,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
421,Food,Listerine,FOOLISTERINE-421,Listerine Mw Cool Mint 500Ml,8992725910356,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
422,Food,Listerine,FOOLISTERINE-422,Listerine Mw Fresh Burst 250Ml,8992725910424,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
423,Food,Listerine,FOOLISTERINE-423,Listerine Mw Fresh Burst 500Ml,8992725910431,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
424,Food,Listerine,FOOLISTERINE-424,Listerine Mw Fresh Citrus 250Ml,8911111153261,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
425,Food,Listerine,FOOLISTERINE-425,Listerine Mw Original 250Ml,8992725910202,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
426,Food,Listerine,FOOLISTERINE-426,Listerine Mw Original 500Ml,8992725910226,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
427,Food,Listerine,FOOLISTERINE-427,Listerine Mw Zero 250Ml,8991111153049,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
428,Food,Listerine,FOOLISTERINE-428,Listerine Mw Zero 500Ml,8991111153056,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
429,Food,Lovillea,FOOLOVILLEA-429,Lovillea Eau De Pafrum (Hijab Mood)-Delight Peony 100Mlx24,8992222111201,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
430,Food,Lovillea,FOOLOVILLEA-430,Lovillea Eau De Pafrum (Hijab Mood)-Lively Orange 100Mlx24,8992222111195,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
431,Food,Lovillea,FOOLOVILLEA-431,Lovillea Eau De Pafrum-Blooming Rose 24X100Ml,8992222111140,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
432,Food,Lovillea,FOOLOVILLEA-432,Lovillea Eau De Pafrum-Classy Freesia (O) 100Mlx24,8992222111126,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
433,Food,Lovillea,FOOLOVILLEA-433,Lovillea Eau De Pafrum-Enchanting Lily 100Mlx24,8992222111133,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
434,Food,Lovillea,FOOLOVILLEA-434,Lovillea Happy Hype Parfum Body Mist Catchin Sunshine 100 Ml X 72,8992222111218,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
435,Food,Lovillea,FOOLOVILLEA-435,Lovillea Happy Hype Parfum Body Mist Chillin Sunday 100 Ml X 72,8992222111225,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
436,Food,Lovillea,FOOLOVILLEA-436,Lovillea Happy Hype Parfum Body Mist Poppin Party 100 Ml X 72,8992222111232,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
437,Food,Lovillea,FOOLOVILLEA-437,Lovillea Hijab Mood Eau De Parfum Joyful Berry 100Mlx24,8992222111188,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
438,Food,Lovillea,FOOLOVILLEA-438,Lovillea Lippy Balm Blushy Red 10 Gr X 48,8992222111287,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
439,Food,Lovillea,FOOLOVILLEA-439,Lovillea Lippy Balm Pure Natural 10 Gr X 48,8992222111300,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
440,Food,Lovillea,FOOLOVILLEA-440,Lovillea Lippy Balm Rose Pink 10 Gr X 48,8992222111270,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
441,Food,Lovillea,FOOLOVILLEA-441,Lovillea Lippy Balm Sunny Coral 10 Gr X 48,8992222111294,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
442,Food,Lovillea,FOOLOVILLEA-442,Lovillea Love Language Eau De Parfum Precious Gift 100 Ml X 4 X12,8992222111409,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
443,Food,Lovillea,FOOLOVILLEA-443,Lovillea Love Language Eau De Parfum Sincere Attention 100 Ml X 4 X12,8992222111416,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
444,Food,Lovillea,FOOLOVILLEA-444,Lovillea Love Language Eau De Parfum Special Moment 100 Ml X 4 X12,8992222111393,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
445,Food,Lovillea,FOOLOVILLEA-445,Lovillea Love Language Eau De Parfum Sweet Talk 100 Ml X 4 X12,8992222111386,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
446,Food,Lovillea,FOOLOVILLEA-446,Lovillea Love Language Eau De Parfum Warm Hug 100 Ml X 4 X12,8992222111423,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
447,Food,Lovillea,FOOLOVILLEA-447,Lovillea Parfum Body Mist Freshy Park 100Ml X 6 X 12,8992222011372,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
448,Food,Lovillea,FOOLOVILLEA-448,Lovillea Parfum Body Mist Fruity Movie 100Ml X 6 X 12,8992222011358,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
449,Food,Lovillea,FOOLOVILLEA-449,Lovillea Parfum Body Mist Vanilla Caf 100Ml X 6 X 12,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
450,Food,Lovillea,FOOLOVILLEA-450,Lovillea Parfum Body Mist Vanilla Café 100Ml X 6 X 12,8992222011365,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
451,Food,Lucido-L,FOOLUCIDO-L-451,Lucido-L Serum Boost Hair Fragrance Floral Cascade 100 Ml X 4 X 12,8992222320221,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
452,Food,Lucido-L,FOOLUCIDO-L-452,Lucido-L Serum Boost Hair Fragrance Frosty Flower 100 Ml X 4 X 12,8992222320207,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
453,Food,Lucido-L,FOOLUCIDO-L-453,Lucido-L Serum Boost Hair Fragrance Twilight Bloom 100 Ml X 4 X 12,8992222320214,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
454,Food,Lucido-L,FOOLUCIDO-L-454,Lucido-L Serum Boost Hair Oil Keratin 50 Ml X 2 X 12,8992222320191,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
455,Food,Lux,FOOLUX-455,Lux Bodywash Pink Soft Kiss 36X100Ml,8999999036492,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
456,Food,M.Kids,FOOM.KIDS-456,M.Kids Spr Batman Btl 36X80+20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
457,Food,M.Kids,FOOM.KIDS-457,M.Kids Spr Ben10 Btl 36X80+20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
458,Food,M.Kids,FOOM.KIDS-458,M.Kids Spr C.America Btl 36X80+20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
459,Food,M.Kids,FOOM.KIDS-459,M.Kids Spr Spiderman Btl 36X80+20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
460,Food,M.Kids,FOOM.KIDS-460,M.Kids Spr Superman Btl 36X80+20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
461,Home Care,Mama,HOMMAMA-461,Mama Lemon Dishwashing Liquid Jeruk Nipis 750Mlx12,8998866105170,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
462,Home Care,Mama,HOMMAMA-462,Mama Lemon Ekstrak Jeruk Nipis 680Ml,8998866105156,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
463,Home Care,Mama,HOMMAMA-463,Mama Lemon Pouch 680Mlx12,8998866100700,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
464,Home Care,Mama,HOMMAMA-464,Mama Lime Charcoal Pouch 680 Ml X 12,8998866107914,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
465,Home Care,Mama,HOMMAMA-465,Mama Lime Pouch 680Ml X12,8998866100717,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
466,Home Care,Mama,HOMMAMA-466,Mama Lime Pouch 680Mlx12,8998866106160,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
467,Home Care,Mamalime,HOMMAMALIME-467,Mamalime 750Ml X 12,8998866183185,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
468,Food,Maxicorn,FOOMAXICORN-468,Maxicorn Snack Barbeque 140Gr,89686729030,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
469,Food,Maxicorn,FOOMAXICORN-469,Maxicorn Snack Nacho Cheese 140Gr,89686729047,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
470,Food,Maxicorn,FOOMAXICORN-470,Maxicorn Snack Roasted Corn 140Gr,89686729023,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
471,Food,Maya,FOOMAYA-471,Maya Sardines Chili Besar 425Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
472,Food,Maya,FOOMAYA-472,Maya Sardines Chili Kecil 155Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
473,Food,Maya,FOOMAYA-473,Maya Sardines Tomat Besar 425Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
474,Food,Maya,FOOMAYA-474,Maya Sardines Tomat Kecil 155Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
475,Personal Care,Medicare,PERMEDICARE-475,Medicare Barsoap Anti Bacteri 90Gr (Blue),8993379121211,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
476,Personal Care,Medicare,PERMEDICARE-476,Medicare Barsoap Fresh 90Gr (Red),8993379121204,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
477,Personal Care,Medicare,PERMEDICARE-477,Medicare Barsoap Powerful 90Gr (Black),8993379260026,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
478,Personal Care,Medicare,PERMEDICARE-478,Medicare Barsoap Refresh 90Gr,8993379260798,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
479,Food,Mentos,FOOMENTOS-479,Mentos Grape Roll 37Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
480,Food,Mentos,FOOMENTOS-480,Mentos Mint Roll 37Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
481,Food,Mentos,FOOMENTOS-481,Mentos Rainbow Roll 37Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
482,Food,Mentos,FOOMENTOS-482,Mentos Roll Feeling Berry Good 8X24X37G,8990800025711,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
483,Food,Mie,FOOMIE-483,Mie Sedaap Ayam Bawang Bag 5,8998866200216,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
484,Food,Mie,FOOMIE-484,Mie Sedaap Cup Goreng 12X81Gr,8998866200813,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
485,Food,Mie,FOOMIE-485,Mie Sedaap Hakata Chicken 60Pc X 88Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
486,Food,Milo,FOOMILO-486,Milo Actigen E Uht180Ml,8992696523067,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
487,Food,Milo,FOOMILO-487,Milo Active Original Go 220Ml,9556001051509,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
488,Food,Milo,FOOMILO-488,Milo Cube Pouch 20X25X2.7Gr,8992696527591,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
489,Beverage,Milo,BEVMILO-489,Milo Uht Milk 36X110Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
490,Food,Minyak,FOOMINYAK-490,Minyak Goreng Bimoli 2L,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
491,Food,Minyak,FOOMINYAK-491,Minyak Goreng Bimoli 5L,8992008300052,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
492,Food,Minyak,FOOMINYAK-492,Minyak Goreng Sania 2L,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
493,Food,Minyak,FOOMINYAK-493,Minyak Goreng Sunco 2L,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
494,Food,Neo,FOONEO-494,Neo Coffee Carramel Machiato (Bag) 20X9Sx20Gr,8998866202008,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
495,Food,Neo,FOONEO-495,Neo Coffee Moccachino (Bag) 20X9Sx20Gr,8998866201988,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
496,Food,Neo,FOONEO-496,Neo Coffee Tiramisu 3In1 20X9Sx20Gr,8998866202022,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
497,Food,Nescafe,FOONESCAFE-497,Nescafe 3 In 1 Original 525Gr,8992696427587,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
498,Beverage,Nescafe,BEVNESCAFE-498,Nescafe Coffee Ready To Drink Black 220Ml,9556001295248,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
