No,Kategori Barang,Merek Barang,Kode Barang,Nama Barang,UPC/Barcode,Satuan,Stock,,,,,,,,,,,,,,,,,,,
109,Personal Care,Dettol,PERDETTOL-109,Dettol Soap Cool (Kemasan Ekonomis) 60Grx3Sx48,8993560024543,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
110,Personal Care,Dettol,PERDETTOL-110,Dettol Soap Cool 60Gr,8993560025502,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
111,Personal Care,Dettol,PERDETTOL-111,Dettol Soap Fresh (Kemasan Ekonomis) 60Grx3Sx48,8993560024536,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
112,Personal Care,Dettol,PERDETTOL-112,Dettol Soap Fresh 60Gr,8993560155780,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
113,Personal Care,Dettol,PERDETTOL-113,Dettol Soap Lasting Fresh (Kemasan Ekonomis) 60Grx3Sx48,8993560004231,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
114,Personal Care,Dettol,PERDETTOL-114,Dettol Soap Lasting Fresh 60Gr,8993560155810,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
115,Personal Care,Dettol,PERDETTOL-115,Dettol Soap Original (Kemasan Ekonomis) 60Grx3Sx48,8993560004217,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
116,Personal Care,Dettol,PERDETTOL-116,Dettol Soap Original 60Gr,8993560025496,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
117,Personal Care,Dettol,PERDETTOL-117,Dettol Soap Re - Energize 60Gr,8993560156626,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
118,Personal Care,Dettol,PERDETTOL-118,Dettol Soap Re Energize Kemasan Ekonomis) 60Grx3Sx48,8993560004255,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
119,Personal Care,Dettol,PERDETTOL-119,Dettol Soap Skincare (Kemasan Ekonomis) 60Grx3Sx48,8993560004248,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
120,Personal Care,Dettol,PERDETTOL-120,Dettol Soap Skincare 60Gr,8993560156619,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
124,Food,Doritos,FOODORITOS-124,Doritos Snack Sambal Salsa (Salsa Chili) 55Gr,8994462790130,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
125,Personal Care,Dove,PERDOVE-125,Dove Bar Soap - Pink 48 X 90Gr,8710447289327,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
126,Personal Care,Dove,PERDOVE-126,Dove Bar Soap Pampering Beauty Crm 48 X 90Gr,8711600804357,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
127,Home Care,Downy,HOMDOWNY-127,Downy 1000 Adorable Bouquet ( Pink Muda),4987176336781,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
128,Home Care,Downy,HOMDOWNY-128,Downy 1000 Flora Pink (Pink),4902430894609,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
129,Home Care,Downy,HOMDOWNY-129,Downy 1000 Fresh Bouquet (Biru Muda),4987176336774,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
130,Beverage,Downy,BEVDOWNY-130,Downy 1000 Milky Touch Baby ( Putih),4987176337627,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
131,Home Care,Downy,HOMDOWNY-131,Downy 1000 Mystique (Hitam Ungu),4902430504454,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
132,Home Care,Downy,HOMDOWNY-132,Downy 1000 Passion (Hitam Merah),4902430542753,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
133,Home Care,Downy,HOMDOWNY-133,Downy 1000 Sunrise Fresh (Biru),4902430557122,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
134,Home Care,Downy,HOMDOWNY-134,Downy 500 Flora Pink (Pink),4902430803380,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
135,Home Care,Downy,HOMDOWNY-135,Downy 500 Moana Mystique (Hitam Ungu),4987176111494,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
136,Home Care,Downy,HOMDOWNY-136,Downy 500 Moana Passion (Hitam Merah),4987176111487,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
137,Home Care,Downy,HOMDOWNY-137,Downy 500 Sunrise Fresh (Biru),4902430745703,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
138,Food,Dua,FOODUA-138,Dua Kelinci Tos Tos Korean Barbeque 140Gr,8995077606496,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
139,Food,Dua,FOODUA-139,Dua Kelinci Tos Tos Nacho Cheese 140Gr,8995077606489,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
140,Food,Dua,FOODUA-140,Dua Kelinci Tos Tos Roasted Corn 140Gr,8995077606472,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
141,Food,Ellips,FOOELLIPS-141,Ellips Hair Vitamin Hair Nutri Color Blister (Ungu),8993417200038,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
142,Food,Ellips,FOOELLIPS-142,Ellips Hair Vitamin Hair Nutri Color Jar (Ungu),8993417200057,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
143,Food,Ellips,FOOELLIPS-143,Ellips Hair Vitamin Hair Shiny Black Blister (Hitam),8993417200045,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
144,Food,Ellips,FOOELLIPS-144,Ellips Hair Vitamin Hair Shiny Black Jar (Hitam),8993417200427,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
145,Food,Ellips,FOOELLIPS-145,Ellips Hair Vitamin Hair Treatment Blister (Pink),8993417200021,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
146,Food,Ellips,FOOELLIPS-146,Ellips Hair Vitamin Hair Treatment Jar (Pink),,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
147,Food,Ellips,FOOELLIPS-147,Ellips Hair Vitamin Hair Vitality,8993417200052,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
148,Food,Ellips,FOOELLIPS-148,Ellips Hair Vitamin Keratin Hair Treatment (Pink),8993417200069,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
149,Food,Ellips,FOOELLIPS-149,Ellips Hair Vitamin Keratin Smooth & Silky (Yellow),8993417200076,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
150,Food,Ellips,FOOELLIPS-150,Ellips Hair Vitamin Smooth &  Shiny Blister (Yellow),8993417200014,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
151,Food,Ellips,FOOELLIPS-151,Ellips Hair Vitamin Smooth & Shiny Jar (Yellow),,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
152,Food,Ellips,FOOELLIPS-152,Ellips Hm Mrc Hr Treatmnt Sch 72X20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
153,Food,Ellips,FOOELLIPS-153,Ellips Hm Mrc Nutricolor Sch 72X20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
154,Food,Ellips,FOOELLIPS-154,Ellips Hm Mrc Smth Shiny Sch 72X20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
155,Food,Ellips,FOOELLIPS-155,Ellips Hm Mrc Volume Mrcle Sch 72X20Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
156,Food,Ellips,FOOELLIPS-156,Ellips Hmst Frsh & Smth Btl 18X100Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
157,Food,Ellips,FOOELLIPS-157,Ellips Hmst Sweet & Slky Btl 18X100Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
158,Food,Ellips,FOOELLIPS-158,Ellips Hv Mrc Hair Vitality Jar 12X50Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
159,Food,Ellips,FOOELLIPS-159,Ellips Hv Mrc Hr Treatmant Jar 12X50Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
160,Food,Ellips,FOOELLIPS-160,Ellips Hv Mrc Hr Treatmnt Blr 72X6Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
161,Food,Ellips,FOOELLIPS-161,Ellips Hv Mrc Hr Vitality Blr 72X6Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
162,Food,Ellips,FOOELLIPS-162,Ellips Hv Mrc Nutricolor Blr 72X6Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
163,Food,Ellips,FOOELLIPS-163,Ellips Hv Mrc Nutricolor Jar 12X50Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
